code,product_name,brands,categories,ingredients_text,allergens,labels,countries,serving_size,nutriscore_grade,energy_kcal_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g
00013819,Triangle Comtois,"Crous, Crous Languedoc Roussillon, Crous Resto'",sandwiches,"PATE A PAIN [farine de BLE (farine de BLE, GLUTEN de BLE, farine de BLE malité, levure désactivée), eau, dextrose, graines de tournesol 1,5%, sel, levure, poudre de BEURRE, perméat de LACTOSERUM, émulsifiant: E471e, GLUTEN de BLE. graines de millet 0,3%, graines de SESAME O,3%, colorant E160aiii, agent de traitement de la farine : E300], décor GRAINES 3% [millet 45%, SESAME 35%, pavot 20%]. UR US Garhiture 56% Jambon 35,7% (jambon de porc [origine France], eau, sel, arômes naturels, dextrose, bouillon de porc déshydratė [eau, os et viande de porc, extrait de carotte et extrait de poireau], sirop de glucose, chlorure de potassium, antioxydant ascorbate de sodium. conservateur nitrite de C sodium)salade batavia 21,4%. tomate 21.4% COMTE 7,1% (LAIT de vache, sel, FERMENTS LACTIQUES, présure), moutarde 7,1% (eau, graines de moutarde, vinaigre d’alcool, sel, acidifiant : acide citrique, conservateur : DISULFITE de potassium), BEURRE léger 7,1% (eau, BEURRE, amidon modifié E1422, amidon de pomme de terre, acidifiant : acide lactique, sel 0,4%, émulsifiants E471, épaississant E466, conservateur : sorbate de potassium colorant : bêta-carotène, arôme naturel)",,"natural flavors, pure butter",france,250 g,c,182.0,5.5,2.6,22.6,2.5,1.8,9.6,1.3
00014311,Salade Capri CROUS,"Crous Languedoc Roussillon, Crous Resto'","meals, pasta dishes, prepared salads, pasta salads, salads","Salade Capri Salade verte 36,6%, PATES FUSILLI cuites 36,6%. billes de MOZZARELLA 12,2% (LAIT pasteurisé, sel, coagulant microbien correcteur d'acidité :E330, conservateur : E202), tomate cerise 9,2%, GRANA PADANO 4,6% (LAIT de vache cru, sel, présure, conservateur : lysozyme [protéine d'ŒUF]), huile d'olive, basilic.",milk,,france,327g,b,106.0,4.4,2.6,10.3,0.8,1.3,5.5,0.12
00015080,Salade verte,"Crous Languedoc Roussillon, Crous Resto'",salads,"Salade verte 85,7%, tomate cerise 14,3%.",,,france,70g,a,14.0,0.1,0.0,1.5,0.8,1.3,1.0,0.05
0002000008390,Acras de morue,Chaleur Creole,"seafood, fishes and their products, snacks, fishes, salty snacks, appetizers, fish preparations, cod acras, preparations made from fish meat","Farine de blé, morue, pommes de terre, oeufs entiers, poudres à lever : bicarbonate de soude, pyrophosphate acide de sodium; ail, piment, sel, persil. Traces possibles de : lait, soja, céleri, crustacés, mollusques, fruits à coques, lupin, sulfites, et leurs dérivés.",gluten,,france,,e,325.0,4.0,1.1,50.5,1.5,4.6,19.3,4.3
0002409400072,De Cecco Pasta fina orecchiette no. 91,,pastas y fideos,Sémola de trigo duro. Contiene Trigo (Gluten).,"gluten, mustard, soybeans",made in italy,mexico,,c,349.96,1.76,0.35,59.41,3.53,2.35,0.0,0.008825
00025638,Émincé de ble sauce Madras,Marks & Spencer,"meats and their products, meat preparations, meats, chicken and its products, poultries, chicken preparations, breaded products, chickens, poultry nuggets, breaded chicken, chicken nuggets","Viande de poulet (67%) · Farine de blé contient Gluten (avec Farine de blé, Carbonate de calcium, Fer, Niacine, Thiamine) Huile de colza · Oignons Sel· Dextrose · Huile d'olive vierge extra · Ail · Poivre blanc moulu · Levure. Pour les allergènes, voir les ingrédients indiqués en gras.",,,france,,c,166.0,4.7,0.9,23.0,2.8,2.3,7.0,0.69
00028035,Date & Walnut Toasts,M&S,gluten free toasts,"● Oil Salt Stabiliser: Xanthan Gum. . . Rice Flour Chopped Dates (20%) Tapioca Starch - Cornflour Chickpea Flour Chopped Walnuts (7%) · Sunflower Seeds (5%) Sugar Raising Agent: E341, Sodium Bicarbonate Molasses Sunflower per 100g ● Made in the UK. SC2588 O Marks and Spencer plc PO Box 3339 CH99 9QS United Kingdom M&S (Ireland) Ltd PO Box 13022 Ravensdale Dublin 2 Ireland marksandspencer.com 125ge 1641 390 10.0g 1.3g • R 65.3g 17.6g 5.0g 7.1g 1.30g . per 7.8g toast . 128 30 0.8g 0.1g 5.1g 1.4g 0.4g 0.6g 0.10g For allergens see ingredients in bold. Not suitable for those with a Nut and Peanut allergy. Suitable for vegetarians Our 'Made Without' range has been created for those with special dietary requirements - for you to fully enjoy without worry. marksandspencer.com/madewithout 13 M &quot;0028 035 &quot;",nuts,"no gluten, green dot","france, united kingdom",1 toast (7.8 g),d,390.0,10.0,1.3,65.3,17.6,5.0,7.1,1.2775
00028097,Biscuits Viennois au chocolat au lait,Marks & Spencer,"snacks, sweet snacks, biscuits and cakes, biscuits, chocolate biscuits, milk chocolate biscuits, shortbread cookies","Chocolat au lait (32 %) (Sucre • Beurre de cacao • Lait en poudre entier • Masse de cacao • Lactosérum en poudre (Lait) • Lait en poudre écrémé • Émulsifiant : Lécithine de soja) • Farine de blé contient Gluten (avec Farine de blé, Carbonate de calcium, Fer, Niacine, Thiamine) • Beurre (Lait) (22%) • Sucre • Fécule de maïs • Sel • Arôme.","milk, soybeans",pure butter,"france, united kingdom",1 biscuit (13.5 g),e,525.925925925926,29.6296296296296,19.2592592592593,59.2592592592593,29.6296296296296,3.7037037037037,5.92592592592593,0.518518518518519
00030014,"Apple, Coconut Water, Cucumber, Spinach",M&S,,Apple Juice (50%) Coconut Water 15%) ? Cucumber Purée (15%) Apple Purée 14%) ? Spinach Purée (3%) ? Lemon Juice ? Spirulina Extract ? Antioxidant: Ascorbic Acid.,,,"france, united kingdom",,,35.0,0.1,0.1,8.3,7.1,0.2,0.1,0.1
0003003407465,Fresh bake baguette,,"plant based foods and beverages, plant based foods, cereals and potatoes, breads","Enriched wheat flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, contains 2% or less of: durum wheat sourdough, fermented rye flour, salt, yeast, malt.",gluten,,united states,2 ONZ (56 g),c,196.0,0.0,0.0,42.86,1.79,1.8,7.14,1.0725
